date;open;High;low;close;volume
28/10/2002;11.119.999.885.559.000;11.550.000.190.734.800;11.119.999.885.559.000;11.119.999.885.559.000;4864322
29/10/2002;10.760.000.228.881.800;11.279.999.732.971.100;10.760.000.228.881.800;10.760.000.228.881.800;5520210
30/10/2002;10.920.000.076.293.900;10.979.999.542.236.300;10.729.999.542.236.300;10.920.000.076.293.900;7038886
31/10/2002;11.420.000.076.293.900;11.420.000.076.293.900;10.859.999.656.677.200;11.420.000.076.293.900;7282602
04/11/2002;114.399.995.803.833;11.739.999.771.118.100;11.260.000.228.881.800;114.399.995.803.833;7075356
05/11/2002;11.449.999.809.265.100;11.449.999.809.265.100;11.199.999.809.265.100;11.449.999.809.265.100;5626819
06/11/2002;11.319.999.694.824.200;11.619.999.885.559.000;11.319.999.694.824.200;11.319.999.694.824.200;5579050
07/11/2002;11.020.000.457.763.600;1.159.000.015.258.780;11.020.000.457.763.600;11.020.000.457.763.600;9052957
08/11/2002;11.109.999.656.677.200;114.399.995.803.833;110.600.004.196.167;11.109.999.656.677.200;4987451
11/11/2002;11.359.999.656.677.200;11.520.000.457.763.600;11.050.000.190.734.800;11.359.999.656.677.200;5274492
12/11/2002;11.989.999.771.118.100;12.199.999.809.265.100;1.134.000.015.258.780;11.989.999.771.118.100;15516919
13/11/2002;11.989.999.771.118.100;12.260.000.228.881.800;118.100.004.196.167;11.989.999.771.118.100;9136485
14/11/2002;11.890.000.343.322.700;12.100.000.381.469.700;11.630.000.114.440.900;11.890.000.343.322.700;5238927
15/11/2002;11.609.999.656.677.200;12.199.999.809.265.100;11.579.999.923.706.000;11.609.999.656.677.200;8977777
18/11/2002;11.949.999.809.265.100;12.020.000.457.763.600;11.649.999.618.530.200;11.949.999.809.265.100;3636771
19/11/2002;11.949.999.809.265.100;12.170.000.076.293.900;11.850.000.381.469.700;11.949.999.809.265.100;4484099
20/11/2002;11.880.000.114.440.900;12.109.999.656.677.200;11.789.999.961.853.000;11.880.000.114.440.900;7243066
